1;2;Quoc;;2025-12-18 00:57;2025-12-18 00:59;1;3.33333
2;3;Bao;;2025-12-18 00:57;;0;0
3;5;T� chu?t ;;2025-12-18 01:00;2025-12-22 12:06;1;106993
4;10;Mam;;2025-12-18 01:00;2025-12-18 01:07;1;11.6667
5;11;Quoc;2025-12-01 18:00-19:00;;;0;0
6;7;Tham;2025-12-01 18:00-19:00;;;1;100
7;11;Quoc2;;2025-12-18 01:07;2025-12-18 01:08;1;1.66667
8;2;Quoc; 2025-12-01 18:00-19:00;;;0;0
9;2;Quoc;2025-12-01 18:00-19:00;;;0;0
10;10;Quoc;2025-12-01 18:00-19:00;;;0;0
11;3;Quoc;2025-12-01 18:00-19:00;;;0;0
12;2;Luffy;;2025-12-22 12:06;;0;0
